     S02HI1.8: offset = dc951e, length = 128082, extra = 0002
     S02HI2.8: offset = de8970, length = 128082, extra = 0002
     S02HI3.8: offset = e07dc2, length = 128082, extra = 0002
     S02LO1.8: offset = e27214, length = 032082, extra = 0002
     S02LO2.8: offset = e2ef66, length = 032082, extra = 0002
     S02LO3.8: offset = e36cb8, length = 032082, extra = 0002
     S15HI3.8: offset = e3ea0a, length = 128082, extra = 0002
     S15LO1.8: offset = e5de5c, length = 032082, extra = 0002
     S15LO2.8: offset = e65bae, length = 032082, extra = 0002
     S15LO3.8: offset = e6d900, length = 032082, extra = 0002
     S09HI1.8: offset = e75652, length = 128082, extra = 0002
     S09HI2.8: offset = e94aa4, length = 128082, extra = 0002
     S09HI3.8: offset = eb3ef6, length = 128082, extra = 0002
     S09LO1.8: offset = ed3348, length = 032082, extra = 0002
     S09LO2.8: offset = edb09a, length = 032082, extra = 0002
     S09LO3.8: offset = ee2dec, length = 032082, extra = 0002
     S08HI1.8: offset = eeab3e, length = 128082, extra = 0002
     S08HI2.8: offset = f09f90, length = 128082, extra = 0002
     S08HI3.8: offset = f293e2, length = 128082, extra = 0002
     S08LO1.8: offset = f48834, length = 032082, extra = 0002
     S08LO2.8: offset = f50586, length = 032082, extra = 0002
     S08LO3.8: offset = f582d8, length = 032082, extra = 0002
     S05HI3.8: offset = f6002a, length = 128082, extra = 0002
     S05LO1.8: offset = f7f47c, length = 032082, extra = 0002
     S05LO2.8: offset = f871ce, length = 032082, extra = 0002
     S05LO3.8: offset = f8ef20, length = 032082, extra = 0002
     S10HI1.8: offset = f96c72, length = 128082, extra = 0002
     S10HI2.8: offset = fb60c4, length = 128082, extra = 0002
     S10HI3.8: offset = fd5516, length = 128082, extra = 0002
     S10LO1.8: offset = ff4968, length = 032082, extra = 0002
     S10LO2.8: offset = ffc6ba, length = 032082, extra = 0002
     S10LO3.8: offset = 100440c, length = 032082, extra = 0002
     S14HI1.8: offset = 100c15e, length = 128082, extra = 0002
     S14HI2.8: offset = 102b5b0, length = 128082, extra = 0002
     S14HI3.8: offset = 104aa02, length = 128082, extra = 0002
     S14LO1.8: offset = 1069e54, length = 032082, extra = 0002
     S14LO2.8: offset = 1071ba6, length = 032082, extra = 0002
     S14LO3.8: offset = 10798f8, length = 032082, extra = 0002
     S13HI1.8: offset = 108164a, length = 128082, extra = 0002
     S13HI2.8: offset = 10a0a9c, length = 128082, extra = 0002
     S13HI3.8: offset = 10bfeee, length = 128082, extra = 0002
     S13LO1.8: offset = 10df340, length = 032082, extra = 0002
     S13LO2.8: offset = 10e7092, length = 032082, extra = 0002
     S13LO3.8: offset = 10eede4, length = 032082, extra = 0002
     S05HI1.8: offset = 10f6b36, length = 128082, extra = 0002
     S05HI2.8: offset = 1115f88, length = 128082, extra = 0002
